antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'LUNCH BAG WOODLAND', 'LUNCH BAG SUKI DESIGN'})",frozenset({'LUNCH BAG RED RETROSPOT'}),0.04072398190045249,0.07692307692307693,0.04072398190045249,1.0,13.0,1.0,0.03759136790810999,inf,0.9622641509433962,0.5294117647058824,1.0,0.7647058823529411
frozenset({'LUNCH BAG RED RETROSPOT'}),"frozenset({'LUNCH BAG WOODLAND', 'LUNCH BAG SUKI DESIGN'})",0.07692307692307693,0.04072398190045249,0.04072398190045249,0.5294117647058824,13.0,1.0,0.03759136790810999,2.0384615384615388,1.0,0.5294117647058824,0.5094339622641509,0.7647058823529411
"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG RED RETROSPOT'})",frozenset({'LUNCH BAG WOODLAND'}),0.04524886877828054,0.08144796380090498,0.04072398190045249,0.9,11.05,1.0,0.037038553674167196,9.185520361990951,0.95260663507109,0.4736842105263158,0.8911330049261084,0.7
frozenset({'LUNCH BAG WOODLAND'}),"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG RED RETROSPOT'})",0.08144796380090498,0.04524886877828054,0.04072398190045249,0.5,11.05,1.0,0.037038553674167196,1.909502262443439,0.9901477832512315,0.4736842105263158,0.476303317535545,0.7
"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG RED RETROSPOT'})",frozenset({'LUNCH BAG SUKI DESIGN'}),0.05429864253393665,0.07692307692307693,0.04524886877828054,0.8333333333333333,10.833333333333332,1.0,0.041072050121823876,5.5384615384615365,0.9598086124401913,0.5263157894736842,0.8194444444444444,0.7107843137254901
"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG WOODLAND'})",frozenset({'LUNCH BAG RED RETROSPOT'}),0.05429864253393665,0.07692307692307693,0.04524886877828054,0.8333333333333333,10.833333333333332,1.0,0.041072050121823876,5.5384615384615365,0.9598086124401913,0.5263157894736842,0.8194444444444444,0.7107843137254901
frozenset({'LUNCH BAG SUKI DESIGN'}),"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG RED RETROSPOT'})",0.07692307692307693,0.05429864253393665,0.04524886877828054,0.588235294117647,10.833333333333332,1.0,0.041072050121823876,2.296703296703296,0.9833333333333333,0.5263157894736842,0.5645933014354065,0.7107843137254901
frozenset({'LUNCH BAG RED RETROSPOT'}),"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG WOODLAND'})",0.07692307692307693,0.05429864253393665,0.04524886877828054,0.588235294117647,10.833333333333332,1.0,0.041072050121823876,2.296703296703296,0.9833333333333333,0.5263157894736842,0.5645933014354065,0.7107843137254901
"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG WOODLAND'})",frozenset({'LUNCH BAG RED RETROSPOT'}),0.049773755656108594,0.07692307692307693,0.04072398190045249,0.8181818181818182,10.636363636363637,1.0,0.03689523146536721,5.076923076923078,0.9534391534391533,0.4736842105263158,0.803030303030303,0.6737967914438503
"frozenset({'LUNCH BAG WOODLAND', 'LUNCH BAG RED RETROSPOT'})",frozenset({'LUNCH BAG SUKI DESIGN'}),0.049773755656108594,0.07692307692307693,0.04072398190045249,0.8181818181818182,10.636363636363637,1.0,0.03689523146536721,5.076923076923078,0.9534391534391533,0.4736842105263158,0.803030303030303,0.6737967914438503
frozenset({'LUNCH BAG RED RETROSPOT'}),"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG WOODLAND'})",0.07692307692307693,0.049773755656108594,0.04072398190045249,0.5294117647058824,10.636363636363637,1.0,0.03689523146536721,2.019230769230769,0.9814814814814814,0.4736842105263158,0.5047619047619049,0.6737967914438503
frozenset({'LUNCH BAG SUKI DESIGN'}),"frozenset({'LUNCH BAG WOODLAND', 'LUNCH BAG RED RETROSPOT'})",0.07692307692307693,0.049773755656108594,0.04072398190045249,0.5294117647058824,10.636363636363637,1.0,0.03689523146536721,2.019230769230769,0.9814814814814814,0.4736842105263158,0.5047619047619049,0.6737967914438503
"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG RED RETROSPOT'})",frozenset({'LUNCH BAG WOODLAND'}),0.05429864253393665,0.08144796380090498,0.04524886877828054,0.8333333333333333,10.231481481481481,1.0,0.040826354906738194,5.511312217194567,0.9540669856459331,0.49999999999999994,0.8185550082101806,0.6944444444444444
frozenset({'LUNCH BAG WOODLAND'}),"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG RED RETROSPOT'})",0.08144796380090498,0.05429864253393665,0.04524886877828054,0.5555555555555556,10.231481481481481,1.0,0.040826354906738194,2.1278280542986425,0.9822660098522168,0.49999999999999994,0.5300372142477405,0.6944444444444444
frozenset({'LUNCH BAG WOODLAND'}),"frozenset({'LUNCH BAG SUKI DESIGN', 'LUNCH BAG RED RETROSPOT'})",0.08144796380090498,0.049773755656108594,0.04072398190045249,0.5,10.045454545454547,1.0,0.03667001085153867,1.9004524886877827,0.9802955665024632,0.44999999999999996,0.47380952380952385,0.6590909090909092
"frozenset({'LUNCH BAG SUKI DESIGN', 'LUNCH BAG RED RETROSPOT'})",frozenset({'LUNCH BAG WOODLAND'}),0.049773755656108594,0.08144796380090498,0.04072398190045249,0.8181818181818182,10.045454545454545,1.0,0.03667001085153867,5.052036199095024,0.9476190476190477,0.44999999999999996,0.8020600089565607,0.6590909090909092
"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG SUKI DESIGN'})",frozenset({'LUNCH BAG RED RETROSPOT'}),0.058823529411764705,0.07692307692307693,0.04524886877828054,0.7692307692307693,10.0,1.0,0.04072398190045249,4.000000000000001,0.95625,0.49999999999999994,0.7499999999999999,0.6787330316742082
frozenset({'LUNCH BAG RED RETROSPOT'}),"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG SUKI DESIGN'})",0.07692307692307693,0.058823529411764705,0.04524886877828054,0.588235294117647,9.999999999999998,1.0,0.04072398190045249,2.285714285714285,0.975,0.49999999999999994,0.5624999999999999,0.6787330316742082
"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG WOODLAND'})",frozenset({'LUNCH BAG SUKI DESIGN'}),0.05429864253393665,0.07692307692307693,0.04072398190045249,0.75,9.75,1.0,0.036547163243995824,3.6923076923076925,0.94896331738437,0.44999999999999996,0.7291666666666666,0.6397058823529411
frozenset({'LUNCH BAG SUKI DESIGN'}),"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG WOODLAND'})",0.07692307692307693,0.05429864253393665,0.04072398190045249,0.5294117647058824,9.75,1.0,0.036547163243995824,2.0096153846153846,0.9722222222222222,0.44999999999999996,0.5023923444976076,0.6397058823529411
"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG CARS BLUE'})",frozenset({'LUNCH BAG RED RETROSPOT'}),0.06334841628959276,0.07692307692307693,0.04524886877828054,0.7142857142857143,9.285714285714285,1.0,0.040375913679081096,3.2307692307692313,0.9526570048309178,0.4761904761904762,0.6904761904761904,0.6512605042016806
frozenset({'LUNCH BAG RED RETROSPOT'}),"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG CARS BLUE'})",0.07692307692307693,0.06334841628959276,0.04524886877828054,0.588235294117647,9.285714285714285,1.0,0.040375913679081096,2.274725274725274,0.9666666666666666,0.4761904761904762,0.5603864734299516,0.6512605042016806
"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG RED RETROSPOT'})",frozenset({'LUNCH BAG CARS BLUE'}),0.04524886877828054,0.1085972850678733,0.04524886877828054,1.0,9.208333333333334,1.0,0.040334964476566815,inf,0.9336492890995259,0.41666666666666663,1.0,0.7083333333333333
"frozenset({'LUNCH BAG WOODLAND', 'LUNCH BAG SUKI DESIGN'})",frozenset({'LUNCH BAG CARS BLUE'}),0.04072398190045249,0.1085972850678733,0.04072398190045249,1.0,9.208333333333334,1.0,0.03630146802891014,inf,0.929245283018868,0.375,1.0,0.6875
frozenset({'LUNCH BAG CARS BLUE'}),"frozenset({'LUNCH BAG WOODLAND', 'LUNCH BAG SUKI DESIGN'})",0.1085972850678733,0.04072398190045249,0.04072398190045249,0.375,9.208333333333334,1.0,0.03630146802891014,1.5348416289592761,1.0000000000000002,0.375,0.3484669811320754,0.6875
frozenset({'LUNCH BAG CARS BLUE'}),"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG RED RETROSPOT'})",0.1085972850678733,0.04524886877828054,0.04524886877828054,0.41666666666666663,9.208333333333332,1.0,0.040334964476566815,1.636716224951519,1.0,0.41666666666666663,0.38902053712480245,0.7083333333333333
"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG CARS BLUE'})",frozenset({'LUNCH BAG WOODLAND'}),0.06334841628959276,0.08144796380090498,0.04524886877828054,0.7142857142857143,8.76984126984127,1.0,0.04008926926148113,3.2149321266968327,0.9458937198067632,0.45454545454545464,0.6889514426460239,0.6349206349206349
frozenset({'LUNCH BAG WOODLAND'}),"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG CARS BLUE'})",0.08144796380090498,0.06334841628959276,0.04524886877828054,0.5555555555555556,8.76984126984127,1.0,0.04008926926148113,2.1074660633484164,0.9645320197044335,0.45454545454545464,0.5254965110037574,0.6349206349206349
frozenset({'LUNCH BAG  BLACK SKULL.'}),"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG RED RETROSPOT'})",0.09502262443438914,0.05429864253393665,0.04524886877828054,0.4761904761904762,8.76984126984127,1.0,0.04008926926148113,1.805429864253394,0.9790000000000001,0.4347826086956522,0.44611528822055146,0.6547619047619048
frozenset({'LUNCH BAG  BLACK SKULL.'}),"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG WOODLAND'})",0.09502262443438914,0.05429864253393665,0.04524886877828054,0.4761904761904762,8.76984126984127,1.0,0.04008926926148113,1.805429864253394,0.9790000000000001,0.4347826086956522,0.44611528822055146,0.6547619047619048
"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG RED RETROSPOT'})",frozenset({'LUNCH BAG  BLACK SKULL.'}),0.05429864253393665,0.09502262443438914,0.04524886877828054,0.8333333333333333,8.769841269841269,1.0,0.04008926926148113,5.429864253393663,0.9368421052631579,0.4347826086956522,0.8158333333333333,0.6547619047619048
"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG WOODLAND'})",frozenset({'LUNCH BAG  BLACK SKULL.'}),0.05429864253393665,0.09502262443438914,0.04524886877828054,0.8333333333333333,8.769841269841269,1.0,0.04008926926148113,5.429864253393663,0.9368421052631579,0.4347826086956522,0.8158333333333333,0.6547619047619048
frozenset({'LUNCH BAG  BLACK SKULL.'}),"frozenset({'LUNCH BAG WOODLAND', 'LUNCH BAG RED RETROSPOT'})",0.09502262443438914,0.049773755656108594,0.04072398190045249,0.4285714285714286,8.610389610389612,1.0,0.03599434901005303,1.66289592760181,0.9766666666666667,0.391304347826087,0.39863945578231297,0.6233766233766234
"frozenset({'LUNCH BAG WOODLAND', 'LUNCH BAG RED RETROSPOT'})",frozenset({'LUNCH BAG  BLACK SKULL.'}),0.049773755656108594,0.09502262443438914,0.04072398190045249,0.8181818181818182,8.61038961038961,1.0,0.03599434901005303,4.977375565610861,0.9301587301587301,0.391304347826087,0.7990909090909092,0.6233766233766234
"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG SUKI DESIGN'})",frozenset({'LUNCH BAG WOODLAND'}),0.058823529411764705,0.08144796380090498,0.04072398190045249,0.6923076923076923,8.5,1.0,0.03593292520628161,2.9852941176470584,0.9374999999999999,0.40909090909090906,0.6650246305418719,0.5961538461538461
frozenset({'LUNCH BAG WOODLAND'}),"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG SUKI DESIGN'})",0.08144796380090498,0.058823529411764705,0.04072398190045249,0.5,8.5,1.0,0.03593292520628161,1.8823529411764706,0.9605911330049262,0.40909090909090906,0.46875,0.5961538461538461
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG SUKI DESIGN'}),0.07692307692307693,0.07692307692307693,0.049773755656108594,0.6470588235294117,8.411764705882351,1.0,0.04385659589279498,2.615384615384615,0.9545454545454544,0.4782608695652173,0.6176470588235293,0.6470588235294117
frozenset({'LUNCH BAG SUKI DESIGN'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.07692307692307693,0.07692307692307693,0.049773755656108594,0.6470588235294117,8.411764705882351,1.0,0.04385659589279498,2.615384615384615,0.9545454545454544,0.4782608695652173,0.6176470588235293,0.6470588235294117
"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG WOODLAND'})",frozenset({'LUNCH BAG CARS BLUE'}),0.049773755656108594,0.1085972850678733,0.04524886877828054,0.9090909090909092,8.371212121212121,1.0,0.03984357404639544,9.805429864253401,0.9266666666666666,0.4,0.8980156898938626,0.6628787878787878
"frozenset({'LUNCH BAG SUKI DESIGN', 'LUNCH BAG RED RETROSPOT'})",frozenset({'LUNCH BAG CARS BLUE'}),0.049773755656108594,0.1085972850678733,0.04524886877828054,0.9090909090909092,8.371212121212121,1.0,0.03984357404639544,9.805429864253401,0.9266666666666666,0.4,0.8980156898938626,0.6628787878787878
"frozenset({'LUNCH BAG WOODLAND', 'LUNCH BAG RED RETROSPOT'})",frozenset({'LUNCH BAG CARS BLUE'}),0.049773755656108594,0.1085972850678733,0.04524886877828054,0.9090909090909092,8.371212121212121,1.0,0.03984357404639544,9.805429864253401,0.9266666666666666,0.4,0.8980156898938626,0.6628787878787878
frozenset({'LUNCH BAG CARS BLUE'}),"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG WOODLAND'})",0.1085972850678733,0.049773755656108594,0.04524886877828054,0.41666666666666663,8.371212121212121,1.0,0.03984357404639544,1.6289592760180993,0.9878172588832488,0.4,0.3861111111111111,0.6628787878787878
frozenset({'LUNCH BAG CARS BLUE'}),"frozenset({'LUNCH BAG SUKI DESIGN', 'LUNCH BAG RED RETROSPOT'})",0.1085972850678733,0.049773755656108594,0.04524886877828054,0.41666666666666663,8.371212121212121,1.0,0.03984357404639544,1.6289592760180993,0.9878172588832488,0.4,0.3861111111111111,0.6628787878787878
frozenset({'LUNCH BAG CARS BLUE'}),"frozenset({'LUNCH BAG WOODLAND', 'LUNCH BAG RED RETROSPOT'})",0.1085972850678733,0.049773755656108594,0.04524886877828054,0.41666666666666663,8.371212121212121,1.0,0.03984357404639544,1.6289592760180993,0.9878172588832488,0.4,0.3861111111111111,0.6628787878787878
"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG CARS BLUE'})",frozenset({'LUNCH BAG SUKI DESIGN'}),0.06334841628959276,0.07692307692307693,0.04072398190045249,0.6428571428571429,8.357142857142858,1.0,0.035851026801253044,2.584615384615385,0.9398819108964036,0.40909090909090906,0.613095238095238,0.5861344537815126
frozenset({'LUNCH BAG SUKI DESIGN'}),"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG CARS BLUE'})",0.07692307692307693,0.06334841628959276,0.04072398190045249,0.5294117647058824,8.357142857142858,1.0,0.035851026801253044,1.9903846153846154,0.9537037037037036,0.40909090909090906,0.4975845410628019,0.5861344537815126
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG WOODLAND'}),0.07692307692307693,0.08144796380090498,0.049773755656108594,0.6470588235294117,7.944444444444443,1.0,0.043508527671423596,2.6025641025641018,0.9469696969696969,0.4583333333333333,0.6157635467980295,0.6290849673202614
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.08144796380090498,0.07692307692307693,0.049773755656108594,0.611111111111111,7.944444444444443,1.0,0.043508527671423596,2.373626373626373,0.9516345723242274,0.4583333333333333,0.5787037037037035,0.6290849673202614
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.06787330316742081,0.07692307692307693,0.04072398190045249,0.6000000000000001,7.800000000000001,1.0,0.03550295857988166,2.3076923076923084,0.935275080906149,0.391304347826087,0.5666666666666668,0.5647058823529412
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.07692307692307693,0.06787330316742081,0.04072398190045249,0.5294117647058824,7.800000000000001,1.0,0.03550295857988166,1.9807692307692308,0.9444444444444444,0.391304347826087,0.49514563106796117,0.5647058823529412
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SUKI DESIGN'}),0.09502262443438914,0.07692307692307693,0.05429864253393665,0.5714285714285715,7.428571428571429,1.0,0.04698920988513749,2.153846153846154,0.9562499999999999,0.46153846153846156,0.5357142857142858,0.6386554621848739
frozenset({'LUNCH BAG SUKI DESIGN'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.07692307692307693,0.09502262443438914,0.05429864253393665,0.7058823529411764,7.428571428571428,1.0,0.04698920988513749,3.076923076923076,0.9375,0.46153846153846156,0.6749999999999999,0.6386554621848739
frozenset({'LUNCH BAG SPACEBOY DESIGN'}),frozenset({'LUNCH BAG WOODLAND'}),0.06787330316742081,0.08144796380090498,0.04072398190045249,0.6000000000000001,7.366666666666667,1.0,0.03519583956102455,2.296380090497738,0.9271844660194176,0.375,0.5645320197044336,0.55
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG SPACEBOY DESIGN'}),0.08144796380090498,0.06787330316742081,0.04072398190045249,0.5,7.366666666666667,1.0,0.03519583956102455,1.8642533936651584,0.9408866995073893,0.375,0.46359223300970875,0.55
