support,itemsets
0.04072398190045249,frozenset({'6 RIBBONS RUSTIC CHARM'})
0.058823529411764705,frozenset({'ALARM CLOCK BAKELIKE GREEN'})
0.04072398190045249,frozenset({'ALARM CLOCK BAKELIKE PINK'})
0.049773755656108594,frozenset({'ALARM CLOCK BAKELIKE RED'})
0.04524886877828054,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'})
0.06334841628959276,frozenset({'BAKING SET 9 PIECE RETROSPOT'})
0.04072398190045249,frozenset({'CHOCOLATE THIS WAY METAL SIGN'})
0.04524886877828054,frozenset({'COOK WITH WINE METAL SIGN'})
0.04072398190045249,frozenset({'DOORMAT FANCY FONT HOME SWEET HOME'})
0.04072398190045249,frozenset({'DOORMAT NEW ENGLAND'})
0.04524886877828054,frozenset({'DOORMAT RED RETROSPOT'})
0.04072398190045249,frozenset({'GARDENERS KNEELING PAD CUP OF TEA'})
0.04524886877828054,frozenset({'GARDENERS KNEELING PAD KEEP CALM'})
0.058823529411764705,frozenset({'GIN + TONIC DIET METAL SIGN'})
0.04524886877828054,frozenset({'GREY HEART HOT WATER BOTTLE'})
0.05429864253393665,frozenset({'GUMBALL COAT RACK'})
0.05429864253393665,frozenset({'HAND OVER THE CHOCOLATE   SIGN'})
0.04072398190045249,frozenset({'HAND WARMER BABUSHKA DESIGN'})
0.049773755656108594,frozenset({'HAND WARMER BIRD DESIGN'})
0.04072398190045249,frozenset({'HAND WARMER UNION JACK'})
0.05429864253393665,frozenset({'HEART OF WICKER SMALL'})
0.049773755656108594,frozenset({'HOT BATHS METAL SIGN'})
0.04072398190045249,frozenset({'HOT WATER BOTTLE I AM SO POORLY'})
0.04524886877828054,frozenset({'HOT WATER BOTTLE TEA AND SYMPATHY'})
0.04524886877828054,frozenset({'JAM MAKING SET PRINTED'})
0.04524886877828054,"frozenset({""JUMBO BAG 50'S CHRISTMAS""})"
0.04072398190045249,frozenset({'JUMBO BAG APPLES'})
0.04524886877828054,frozenset({'JUMBO BAG PINK POLKADOT'})
0.08597285067873303,frozenset({'JUMBO BAG RED RETROSPOT'})
0.04524886877828054,frozenset({'JUMBO BAG VINTAGE DOILY'})
0.04524886877828054,frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'})
0.07239819004524888,frozenset({'JUMBO STORAGE BAG SUKI'})
0.04524886877828054,frozenset({'LARGE WHITE HEART OF WICKER'})
0.04524886877828054,frozenset({'LOVE BUILDING BLOCK WORD'})
0.04072398190045249,frozenset({'LOVE HOT WATER BOTTLE'})
0.09502262443438914,frozenset({'LUNCH BAG  BLACK SKULL.'})
0.049773755656108594,frozenset({'LUNCH BAG ALPHABET DESIGN'})
0.058823529411764705,frozenset({'LUNCH BAG APPLE DESIGN'})
0.1085972850678733,frozenset({'LUNCH BAG CARS BLUE'})
0.049773755656108594,frozenset({'LUNCH BAG DOLLY GIRL DESIGN'})
0.06787330316742081,frozenset({'LUNCH BAG PINK POLKADOT'})
0.07692307692307693,frozenset({'LUNCH BAG RED RETROSPOT'})
0.06787330316742081,frozenset({'LUNCH BAG SPACEBOY DESIGN'})
0.07692307692307693,frozenset({'LUNCH BAG SUKI DESIGN'})
0.05429864253393665,frozenset({'LUNCH BAG VINTAGE DOILY'})
0.04072398190045249,frozenset({'LUNCH BAG VINTAGE LEAF DESIGN'})
0.08144796380090498,frozenset({'LUNCH BAG WOODLAND'})
0.07692307692307693,frozenset({'NATURAL SLATE HEART CHALKBOARD'})
0.07692307692307693,frozenset({'PACK OF 72 RETROSPOT CAKE CASES'})
0.04072398190045249,"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS""})"
0.06334841628959276,frozenset({'PARTY BUNTING'})
0.049773755656108594,frozenset({'PINK CREAM FELT CRAFT TRINKET BOX'})
0.04072398190045249,frozenset({'PINK FAIRY CAKE CHILDRENS APRON'})
0.04072398190045249,frozenset({'RED  HARMONICA IN BOX'})
0.04524886877828054,frozenset({'RED RETROSPOT UMBRELLA'})
0.04072398190045249,frozenset({'RED TOADSTOOL LED NIGHT LIGHT'})
0.10407239819004525,frozenset({'REGENCY CAKESTAND 3 TIER'})
0.058823529411764705,frozenset({'RETROSPOT TEA SET CERAMIC 11 PC'})
0.05429864253393665,frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'})
0.04524886877828054,frozenset({'SCOTTIE DOG HOT WATER BOTTLE'})
0.06334841628959276,frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN'})
0.04524886877828054,frozenset({'SET OF 4 PANTRY JELLY MOULDS'})
0.058823529411764705,frozenset({'SMALL WHITE HEART OF WICKER'})
0.049773755656108594,frozenset({'TRADITIONAL KNITTING NANCY'})
0.1085972850678733,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'})
0.04072398190045249,frozenset({'WHITE SKULL HOT WATER BOTTLE'})
0.049773755656108594,frozenset({'WOODEN FRAME ANTIQUE WHITE'})
0.04072398190045249,"frozenset({'JUMBO BAG RED RETROSPOT', 'JUMBO STORAGE BAG SUKI'})"
0.06334841628959276,"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG CARS BLUE'})"
0.04524886877828054,"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG RED RETROSPOT'})"
0.05429864253393665,"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG SUKI DESIGN'})"
0.049773755656108594,"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG WOODLAND'})"
0.04524886877828054,"frozenset({'LUNCH BAG PINK POLKADOT', 'LUNCH BAG CARS BLUE'})"
0.05429864253393665,"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG RED RETROSPOT'})"
0.058823529411764705,"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG SUKI DESIGN'})"
0.05429864253393665,"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG WOODLAND'})"
0.04072398190045249,"frozenset({'LUNCH BAG PINK POLKADOT', 'LUNCH BAG RED RETROSPOT'})"
0.049773755656108594,"frozenset({'LUNCH BAG SUKI DESIGN', 'LUNCH BAG RED RETROSPOT'})"
0.049773755656108594,"frozenset({'LUNCH BAG WOODLAND', 'LUNCH BAG RED RETROSPOT'})"
0.04072398190045249,"frozenset({'LUNCH BAG SPACEBOY DESIGN', 'LUNCH BAG WOODLAND'})"
0.04072398190045249,"frozenset({'LUNCH BAG WOODLAND', 'LUNCH BAG SUKI DESIGN'})"
0.04524886877828054,"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG CARS BLUE', 'LUNCH BAG RED RETROSPOT'})"
0.04072398190045249,"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG CARS BLUE', 'LUNCH BAG SUKI DESIGN'})"
0.04524886877828054,"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG CARS BLUE', 'LUNCH BAG WOODLAND'})"
0.04072398190045249,"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG WOODLAND', 'LUNCH BAG RED RETROSPOT'})"
0.04524886877828054,"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG SUKI DESIGN', 'LUNCH BAG RED RETROSPOT'})"
0.04524886877828054,"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG WOODLAND', 'LUNCH BAG RED RETROSPOT'})"
0.04072398190045249,"frozenset({'LUNCH BAG CARS BLUE', 'LUNCH BAG WOODLAND', 'LUNCH BAG SUKI DESIGN'})"
0.04072398190045249,"frozenset({'LUNCH BAG WOODLAND', 'LUNCH BAG SUKI DESIGN', 'LUNCH BAG RED RETROSPOT'})"
